id,customer_id,type,points,description,order_id,created_at
002cf8d5-00fc-4121-9f27-4742b62f8c5e,e676e980-4a88-4c2a-8057-7392dbdeb921,earn,2,+2 tampons,110,2026-02-17 20:58:29.924835+00
00b05358-714c-43d5-8b1f-3669fa179819,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,10,Bonus commande en ligne 🌐,53,2026-01-30 01:15:09.423111+00
0100460e-9fe8-485e-aa58-e684dc85ae90,c84f0d48-2b52-4214-b24c-98d2db33ca79,earn,28,Commande #65 (1pt/€),65,2026-01-31 21:01:08.010155+00
01328740-3a16-496b-b25c-66129aa7125f,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,2,+2 tampons,62,2026-01-30 19:45:04.611472+00
0206e4fd-c505-4322-a24d-0c5407da8805,ac76d991-01f0-4e00-9242-3c9c34cf5375,earn,1,+1 tampon,74,2026-02-05 18:20:54.686666+00
027a2f30-d3e4-4d68-8a91-953986537de3,a873d327-aabf-4c68-bebe-25815a9e97a6,earn,2,+2 tampons,94,2026-02-10 20:59:12.905926+00
0436ba7d-f6e0-4e83-b462-75a67b6fa052,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,10,Commande #011 (1pt/€),011,2026-01-25 22:51:05.006149+00
05490561-adfb-4f2b-88f6-533b76c0b78c,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,2,+2 tampons,152,2026-03-15 15:37:24.757214+00
05924102-96ea-46a9-a1bb-728141a00787,af486538-8df6-4e40-8627-5365b07a63e2,earn,30,Bonus première commande 🎉,107,2026-02-16 17:10:19.094862+00
05fda83a-785c-434d-9909-d88d3628d12f,ac76d991-01f0-4e00-9242-3c9c34cf5375,earn,15,Commande #74 (1pt/€),74,2026-02-05 18:20:54.490268+00
0693074d-1623-43de-895f-cc7909bffeba,f30bd374-498b-4e2e-8144-42853a7b12e6,earn,18,Commande #122 (1pt/€),122,2026-02-21 17:20:15.006727+00
06a66230-98c7-4e5e-9483-ffd34644ce84,2a6c2a1f-8980-41fb-93ee-15ae544e85a8,earn,1,+1 tampon,96,2026-02-11 12:34:27.856905+00
07381ba2-32d2-4138-b840-5401fb540d83,e676e980-4a88-4c2a-8057-7392dbdeb921,earn,18,Commande #121 (1pt/€),121,2026-02-20 20:37:05.259157+00
07a75052-d4e1-4279-819f-c6bce617209c,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,11,Commande #75 (1pt/€),75,2026-02-06 02:34:42.914432+00
08d85ea5-a156-4d26-9fed-cc9304a67179,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,11,Commande #90 (1pt/€),90,2026-02-09 17:59:39.146854+00
0a85fdcf-8280-4d0b-ba4d-848c43d33f18,92510d12-fbfd-4b78-9c4d-ec74c362fee9,earn,10,Bonus commande en ligne 🌐,135,2026-02-26 19:23:11.315932+00
0b1cc90d-9f17-4d13-bd90-a5d6fa4371d4,fe101507-3cc8-42b1-87e9-8d4d568a1775,earn,2,+2 tampons,72,2026-02-05 11:59:47.9746+00
0b67a2ca-cf9e-4b71-998b-5a8df01b067e,a6f618d0-02c4-41b6-91dc-6e535f21f183,earn,10,Bonus commande en ligne 🌐,181,2026-04-03 21:30:25.400555+00
0c2f070f-be62-4c8a-967c-8d3f8c2d3b42,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,10,Bonus commande en ligne 🌐,235,2026-01-23 23:13:30.082672+00
0d2b269c-bea8-4ae1-a592-c4f3fad58a3d,ac76d991-01f0-4e00-9242-3c9c34cf5375,earn,10,Bonus commande en ligne 🌐,74,2026-02-05 18:20:54.490268+00
0d5f0138-fab6-4fe7-8e17-b33b1c01b4a3,1be03aed-95fd-4040-9af4-4006c0f20ba5,earn,32,Commande #140 (1pt/€),140,2026-03-07 17:03:17.510376+00
0d855947-e61e-4d16-9b41-f1b45344c931,91b25027-98a9-4c80-9b31-f3b1fd053732,earn,10,Bonus commande en ligne 🌐,112,2026-02-17 21:34:20.090042+00
0dd8af6e-4845-4c81-a3d9-c5f0ba8a8b22,a873d327-aabf-4c68-bebe-25815a9e97a6,earn,10,Bonus commande en ligne 🌐,134,2026-02-26 18:24:52.849524+00
0e2c3ace-e8d8-4a79-a1d3-33e59331b3ee,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,48,Commande #44 (1pt/€),44,2026-01-29 18:29:50.168597+00
0e2c7a9e-4ff5-4271-9b90-c7fbe8acf406,1ff6f543-d8e9-4d47-ab40-3c9c73371276,earn,1,+1 tampon,002,2026-01-25 02:57:50.358049+00
0e7cbf3f-b4be-48d8-80ee-b29d8167242e,522375cb-689c-4d37-94ee-f54b42fd46f3,earn,2,+2 tampons,157,2026-03-24 21:19:56.238627+00
0ecc112d-219c-417b-84be-cf8e8e021029,e676e980-4a88-4c2a-8057-7392dbdeb921,earn,23,Commande #109 (1pt/€),109,2026-02-16 21:06:34.933986+00
0eeb5f3c-09a2-4196-9f95-a27516fadf4e,2a6c2a1f-8980-41fb-93ee-15ae544e85a8,earn,11,Commande #96 (1pt/€),96,2026-02-11 12:34:27.612798+00
0ef70fcb-d409-4d21-8970-619a93a1de41,8f947b99-416e-4a40-875d-34a73baf02db,earn,2,+2 tampons,176,2026-04-02 16:02:24.000757+00
0ef71df8-5d48-479e-832d-b83b860970ef,fe101507-3cc8-42b1-87e9-8d4d568a1775,earn,22,Commande #72 (1pt/€),72,2026-02-05 11:59:47.789916+00
0fe7a224-c485-46da-a8fc-553c78c289d7,5dd2e211-caba-4a3a-8854-863492a12248,earn,30,Bonus première commande 🎉,142,2026-03-07 19:39:35.367161+00
